Which of these is a renewable energy resource?,Wind Energy,Natural Gas,Nuclear Energy,Coal,easy
What state in the US produces the most wind energy?,Texas,Alaska,Michigan,California,medium
What state in the US produces the most renewable energy as a whole?,Texas,Maine,California,,medium
What state in the US produces the most solar power?,California,Florida,Arizona,Oregon,medium
What state in the US produces the most nuclear power?,Illinois,Michigan,Louisiana,Idaho,hard
Renewable energy generates what percentage of all US electricity?,20%,40%,5%,1%,hard
Wind energy generates what percentage of all US electricity?,10%,1%,5%,30%,hard
What is the largest source of renewable energy in the US?,Wind,Hydropower,Solar,Geothermal,medium
What is the largest energy source in the US?,Natural Gas/Petroleum,Coal,Nuclear,Hydropower,medium
How much energy does recycling one glass bottle save?,Enough to power a normal lightbulb for 4 hours,None,Enough to charge a phone 50 times,Enough to heat a house through winter,hard
Recycling one aluminum can saves how much energy?,Enough to watch your favorite movie on a TV,Enough to binge-watch all 4 seasons of Stranger Things on a TV,Enough to watch one 30-minute cartoon on a TV,Enough to watch one TikTok on a TV,hard
Which state has the lowest carbon emissions?,Vermont,Rhode island,Delaware,Maine,hard
Which state has the highest carbon emissions?,Texas,California,Florida,New York,medium
Which is the most abundant energy source?,Solar,Coal,Wind,Geothermal,medium
What is geothermal energy?,A renewable energy source that is produced from heat from within the Earth,A renewable energy source that is produced by rays of light from the sun,A renewable energy source that is produced from ocean currents,A non-renewable energy source that is produced using Uranium as a source of fuel,easy
What is solar energy?,A renewable energy source that is produced by rays of light from the sun,A renewable energy source that is produced from the rays of the moon,A non-renewable energy source that is produced from coal,A renewable energy source that is produced from catching the power of the wind,easy
What is wind energy?,A renewable energy source that is produced from catching the power of the wind,A renewable energy source that is produced from ocean currents,A renewable energy source that is produced from the heat of the earth,A renewable energy source that is produced by rays of light from the sun,easy
What is nuclear energy?,A non-renewable energy source from the core of an atom,rain that has been made acidic by certain pollutants in the air,A renewable energy source that is produced by rays of light from the sun,A renewable energy source that is produced from heat from within the Earth,easy
What is hydropower?,A renewable energy source that is produced from water currents,A non-renewable energy source that is produced from coal,A renewable energy source that is produced from catching the power of the wind,A non-renewable energy source from the core of an atom,easy
What does renewable mean?,Able to be used again,Not able to be used again,Never used before,Completely used up,easy
Why is the world's need for energy increasing?,All of the above,The global population is increasing,New technology requires more energy,Urbanization (more people are moving to cities),medium
Why should our country invest in renewable energy?,All of these,To shift away from coal and reduce carbon emissions,To save costs and add jobs to the economy,,easy
What is Michigan's number one source of renewable energy?,Wind,Geothermal,Solar,Hydroelectric,medium
What is biomass energy?,A renewable energy that comes from plant matter that is burned to produce heat or converted into another energy source.,Biology,A non-renewable energy source that is produced from coal,A renewable energy source that is produced from catching the power of the wind,medium
What is petroleum energy?,A non-renewable energy source that creates fuel for planes and cars (gasoline),A renewable energy source that creates fuel for planes and cars (gasoline),A renewable energy source that is produced from water currents,A renewable energy source that is produced from catching the power of the wind,medium
What is biofuel?,Energy from plant/algae material and animal waste,Energy from the core of an atom,Energy from the wind,Energy from coal,medium
What is a fossil fuel?,Non-renewable fuels that come from old life forms that decomposed over a long period of time,Renewable energy that comes from burning trees,Non-renewable energy that comes from the core of an atom,Renewable energy that comes from the sunlight,medium
