True or False: lightning is hotter than the sun.,TRUE,FALSE,,,easy
"What temperature, in °C, does water freeze?",0,32,10,5,easy
Around how many days does it take for the moon to orbit the Earth?,30,365,24,60,medium
What is the largest planet in the solar system?,Jupiter,Uranus,Neptune,Saturn,easy
What is not a state of matter?,Air,Gas,Solid,Liquid,medium
Which substance does sound travel the fastest in?,Metal,Water,Air,A vacuum,hard
What is a force?,A push or a pull on an object,Light,Energy,Ability to produce heat,easy
What is the nucleus of an atom composed of?,Protons and neutrons,Electrons,Atoms are the smallest unit,Electrons and nuclei (nuclei are multiple nucleus),medium
Electricity is the flow of what particles?,Electrons,Protons,Neutrons,Photons,medium
A circuit is a path taken by a current. A path with no breaks is called what?,Closed-circuit,Open-circuit,Circuit Breaker,Capacitor,medium
What is a gear?,A wheel with teeth that can interlock with other gears,A rod or spindle that passes through the center of a wheel,A bar used for pulling or pushing,A wheel designed to support movement or change in direction,medium
Who discovered gravity?,Isaac Newton,Galileo Galilei,Marie Curie,Beyonce,easy
What is H2O more commonly known as?,Water,Juice,Lemonade,Orange Juice,easy
How many elements are on the periodic table?,118,5,10000,203,hard
What is energy?,The ability to change matter,A force,A speed,A distance,medium
Which of these is an example of energy being transferred/transformed?,All of the above,A wind turbine transforms wind energy into electricity,A ball being hit by a bat (transfer of kinetic energy from one object to another),Heating water in a kettle (electricity turns into heat),easy
Which of these is an example of energy being transferred/transformed?,All of the above,Photosynthesis (Light energy becomes food for plants),Going on a walk (Energy from food allows humans to do activities),Flashlights (electricity turns into light energy),easy
Can energy be stored?,"Yes! For instance, energy is stored in a battery.",No! It's impossible to put energy into a box.,,,easy
What is velocity?,A speed in a certain direction,A speed,A really fast speed,Gravity,medium
What is acceleration?,A change in speed in a certain direction,A change in speed,A really slow speed,A force,medium
What is the force of gravity?,The force of attraction due to Earth's large mass,Any force that pushes things down,A sticky substance that keeps us on the ground,"The air above us pushes down on us, which prevents us from flying up",medium
Larger objects will take longer to reach the ground when they are dropped,FALSE,TRUE,,,hard
How do you calculate someone's speed?,Divide the distance they travelled by the time it took to get there,Race them,Add the distance they travelled to the time it took them to get there,Ask them,medium
