What is deforestation?,Clearing a wide area of trees,The heating of the Earth,The rising of sea levels,Growing agriculture,easy
Which of these materials cannot be recycled?,Light bulbs,Paper and cardboard,Plastic bottles,Metals,medium
What is climate change?,The increase in temperature of Earth's atmosphere and the constant change in weather patterns,When the weather changes each week,The seasons changing based on the time of year and the Earth's rotation around the sun,When birds fly south for the winter,easy
Which one of these is a greenhouse gas?,Carbon Dioxide,Oxygen,Nitrogen,Argon,easy
Which of the following will help you to save water?,"Close leaking faucets and fix leaky faucets, pipes, and toilets",Flush the toilet 3 times,Take long showers,Leave the faucet on when you brush your teeth,easy
Which is the most environmentally-friendly mode of transportation?,Bike,Car,Bus,Plane,easy
Which day is Earth Day?,April 22,March 12,October 2,May 9,medium
How long does a Styrofoam cup take to breakdown?,500 years,300 years,100 years,50 years,hard
How long does it take for a glass bottle or jar to decompose?,"40,000 years","10,000 years","4,000 years",100 years,hard
The greenhouse effect refers to which of the following?,Warming of the Earth,Cooling of the Earth,Trapping of UV rays,Growing plants,easy
Which of the following is a fossil fuel?,All of the above,Tar,Coal,Petroleum,medium
Which of the following is/are types of pollution that affect the environment?,All of the mentioned,Land pollution,Water pollution,Air pollution,easy
What can we do to fight against deforestation?,Both of these,Lessen the use of products from wood fiber such as paper,Protect forests and plant more trees,None of these,easy
How many trees are needed to supply a day's worth of oxygen to 4 people?,1,20,50,100,hard
What natural event also causes deforestation?,Wildfires,Snowing,Hail,Flooding,medium
What type of gas do trees and other plants produce that is helpful to humans?,Oxygen,Hydrogen,Helium,Nitrogen,easy
How many (estimated) trees are living on earth?,3 trillion,8 billion,8 million,300 thousand,hard
Which Arctic animal do many scientists consider most vulnerable to extinction due to global warming?,Narwhals,Polar bears,Tropical frogs,Toucans,medium
What percentage of trees have humans chopped down?,46%,37%,21%,17%,hard
What change in diets can contribute to reducing deforestation in tropical areas?,Eating less meat,Eating fewer organic vegetables,Consuming more soy-based products,Drinking more coffee,medium
How many times can paper be recycled?,6,1,3,Unlimited,hard
How much of Earth's water is usable freshwater?,Under 1%,50%,10%,85%,hard
